 ,name,region,district,difficulty,duration_days,max_altitude_m,min_altitude_m,total_distance_km,cost_min_usd,cost_max_usd,best_season,requires_permit,permit_type,permit_cost_usd,requires_guide,accommodation_type,cultural_score,nature_score,adventure_score,fitness_required,technical_skill,teahouse_available,camping_required,helicopter_rescue,nearest_hospital_km,route_type,avg_daily_walking_hrs,elevation_gain_m,elevation_loss_m,water_sources,mobile_network,atm_available,description,data_source
83,Milarepa Cave Trek,Annapurna,Manang,Easy,1,3800,3500,8,100,200,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,None,0.85,0.7,0.4,Low,Basic,No,No,Yes,42,Out-and-back,4,300,300,Moderate,Limited,No,Short pilgrimage to meditation cave,NTNC-ACAP
84,Praken Gompa Trek,Annapurna,Manang,Easy,1,4000,3500,10,100,200,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,None,0.8,0.75,0.45,Low,Basic,No,No,Yes,44,Out-and-back,4,500,500,Moderate,Limited,No,Day hike to monastery above Manang,NTNC-ACAP
85,Gangapurna Lake Trek,Annapurna,Manang,Easy,1,3650,3500,6,80,150,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,None,0.45,0.85,0.4,Low,Basic,No,No,Yes,43,Out-and-back,3,150,150,Moderate,Limited,No,Short walk to glacial lake near Manang,NTNC-ACAP
86,Pisang Peak Base Camp,Annapurna,Manang,Moderate,1,4400,3300,10,150,300,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,None,0.5,0.88,0.7,Moderate,Basic,No,No,Yes,48,Out-and-back,5,1100,1100,Moderate,Limited,No,Day hike to trekking peak base,NTNC-ACAP
87,Australian Camp Trek,Annapurna,Kaski,Easy,2,2100,1000,18,250,500,Year-round,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.55,0.78,0.4,Low,Basic,Yes,No,Yes,12,Out-and-back,4,1100,1100,Abundant,Good,No,Easy trek with excellent Annapurna views,NTNC-ACAP
88,Dhampus Sarangkot Trek,Annapurna,Kaski,Easy,3,1600,900,25,300,550,Year-round,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.6,0.75,0.35,Low,Basic,Yes,No,Yes,10,Loop,4,700,700,Abundant,Good,Yes,Easy village trek from Pokhara,NTNC-ACAP
89,Peace Stupa Trek,Annapurna,Kaski,Easy,1,1113,800,8,60,120,Year-round,No,None,0,No,None,0.75,0.6,0.25,Low,Basic,No,No,Yes,5,Out-and-back,3,313,313,Abundant,Good,Yes,Short hike to World Peace Pagoda,Nepal Tourism Board
90,Begnas Lake Trek,Pokhara,Kaski,Easy,2,1000,850,15,200,400,Year-round,No,None,0,No,Lodge,0.65,0.7,0.3,Low,Basic,Yes,No,Yes,8,Loop,4,150,150,Abundant,Good,Yes,Easy lake circuit trek,Nepal Tourism Board
91,Panchase Trek,Annapurna,Kaski|Parbat,Easy,4,2517,1000,40,400,750,Spring|Autumn|Winter,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.7,0.82,0.5,Low,Basic,Yes,No,Yes,18,Loop,5,1517,1517,Abundant,Good,No,Rhododendron forest trek with lake,NTNC-ACAP
92,Ghandruk Loop Trek,Annapurna,Kaski,Easy,4,2000,1000,35,350,700,Year-round,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.8,0.8,0.45,Low,Basic,Yes,No,Yes,15,Loop,5,1000,1000,Abundant,Good,No,Cultural trek through Gurung village,NTNC-ACAP
93,Dhampus Ghandruk Trek,Annapurna,Kaski,Easy,5,2000,1000,40,400,800,Year-round,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.75,0.8,0.5,Low,Basic,Yes,No,Yes,15,Loop,5,1000,1000,Abundant,Good,No,Popular village-to-village trek,NTNC-ACAP
94,Tadapani Trek,Annapurna,Kaski|Myagdi,Moderate,6,2700,1000,50,500,950,Spring|Autumn|Winter,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.65,0.85,0.55,Moderate,Basic,Yes,No,Yes,20,Loop,5,1700,1700,Abundant,Good,No,Trek through rhododendron forests,NTNC-ACAP
95,Chomrong to ABC Day Trek,Annapurna,Kaski,Moderate,2,4130,2170,25,300,600,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.5,0.92,0.7,Moderate,Basic,Yes,No,Yes,25,Out-and-back,7,1960,1960,Abundant,Good,No,Fast ABC approach from Chomrong,NTNC-ACAP
96,Upper Pisang to Ngawal Trek,Annapurna,Manang,Moderate,1,3660,3300,12,100,200,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.85,0.8,0.55,Moderate,Basic,Yes,No,Yes,50,Point-to-point,5,360,360,Moderate,Limited,No,High route alternative on Annapurna Circuit,NTNC-ACAP
97,Kagbeni to Muktinath,Annapurna,Mustang,Easy,1,3800,2800,15,100,200,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.9,0.75,0.45,Low,Basic,Yes,No,Yes,40,Point-to-point,4,1000,1000,Moderate,Good,No,Pilgrimage walk to sacred temple,NTNC-ACAP
98,Tatopani Hot Springs Trek,Annapurna,Myagdi,Easy,1,1200,1100,5,50,100,Year-round,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.6,0.7,0.35,Low,Basic,Yes,No,Yes,35,Out-and-back,2,100,100,Abundant,Good,No,Rest day trek to natural hot springs,NTNC-ACAP
99,Jhinu Hot Springs Trek,Annapurna,Kaski,Easy,1,1780,1500,4,50,100,Year-round,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.55,0.72,0.35,Low,Basic,Yes,No,Yes,20,Out-and-back,2,280,280,Abundant,Good,No,Hot springs near Chomrong village,NTNC-ACAP
100,Nayapul to Ulleri Trek,Annapurna,Kaski|Myagdi,Easy,1,2070,1000,10,80,150,Year-round,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.6,0.75,0.45,Low,Basic,Yes,No,Yes,15,Point-to-point,4,1070,1070,Abundant,Good,No,Starting section of Poon Hill trek,NTNC-ACAP
101,Island Peak Approach Trek,Khumbu,Solukhumbu,Hard,12,5100,2840,110,1400,2600,Spring|Autumn,Yes,Sagarmatha National Park + TIMS,50,Yes,Teahouse,0.5,0.92,0.85,High,Intermediate,Yes,No,Yes,50,Out-and-back,6,2260,2260,Moderate,Partial,No,Approach trek to popular climbing peak,Nepal Tourism Board
102,Mera Peak Base Camp Trek,Khumbu,Solukhumbu,Hard,10,5300,2800,95,1300,2400,Spring|Autumn,Yes,Makalu Barun Entry + TIMS,50,Yes,Teahouse,0.45,0.9,0.82,High,Intermediate,Yes,No,Yes,55,Out-and-back,6,2500,2500,Moderate,Limited,No,Approach to Nepal's highest trekking peak,Nepal Tourism Board
103,Lobuche Peak Approach,Khumbu,Solukhumbu,Hard,11,5200,2840,105,1350,2500,Spring|Autumn,Yes,Sagarmatha National Park + TIMS,50,Yes,Teahouse,0.45,0.91,0.83,High,Intermediate,Yes,No,Yes,48,Out-and-back,6,2360,2360,Moderate,Partial,No,Approach trek to technical trekking peak,Nepal Tourism Board
104,Everest Panorama Trek,Khumbu,Solukhumbu,Moderate,8,3880,2840,65,900,1700,Spring|Autumn|Winter,Yes,Sagarmatha National Park + TIMS,50,No,Teahouse,0.65,0.85,0.6,Moderate,Basic,Yes,No,Yes,40,Out-and-back,5,1040,1040,Abundant,Partial,No,Shorter Everest region trek to Tengboche,Nepal Tourism Board
105,Tengboche Monastery Trek,Khumbu,Solukhumbu,Moderate,7,3867,2840,55,800,1500,Spring|Autumn|Winter,Yes,Sagarmatha National Park + TIMS,50,No,Teahouse,0.8,0.85,0.55,Moderate,Basic,Yes,No,Yes,38,Out-and-back,5,1027,1027,Abundant,Partial,No,Cultural trek to famous Buddhist monastery,Nepal Tourism Board
106,Namche Bazaar Trek,Khumbu,Solukhumbu,Moderate,5,3440,2840,40,600,1100,Year-round,Yes,Sagarmatha National Park + TIMS,50,No,Teahouse,0.75,0.8,0.5,Moderate,Basic,Yes,No,Yes,35,Out-and-back,5,600,600,Abundant,Good,No,Short trek to Sherpa capital,Nepal Tourism Board
107,Thame Valley Trek,Khumbu,Solukhumbu,Moderate,3,3820,3440,25,400,750,Spring|Autumn,Yes,Sagarmatha National Park + TIMS,50,No,Teahouse,0.8,0.82,0.55,Moderate,Basic,Yes,No,Yes,40,Out-and-back,5,380,380,Abundant,Partial,No,Side trek to Tenzing Norgay's home village,Nepal Tourism Board
108,Khumjung Village Trek,Khumbu,Solukhumbu,Easy,1,3790,3440,8,150,300,Year-round,Yes,Sagarmatha National Park + TIMS,50,No,Teahouse,0.85,0.75,0.4,Low,Basic,Yes,No,Yes,38,Out-and-back,3,350,350,Abundant,Partial,No,Day trek to village with yeti scalp,Nepal Tourism Board
109,Syangboche Panorama,Khumbu,Solukhumbu,Easy,1,3780,3440,6,120,250,Year-round,Yes,Sagarmatha National Park + TIMS,50,No,None,0.6,0.8,0.4,Low,Basic,No,No,Yes,36,Out-and-back,3,340,340,Abundant,Partial,No,Easy viewpoint hike above Namche,Nepal Tourism Board
110,Everest View Hotel Trek,Khumbu,Solukhumbu,Easy,1,3880,3440,8,150,300,Year-round,Yes,Sagarmatha National Park + TIMS,50,No,Lodge,0.55,0.82,0.4,Low,Basic,Yes,No,Yes,37,Out-and-back,3,440,440,Abundant,Partial,No,Trek to world's highest placed hotel,Nepal Tourism Board
111,Phortse Village Trek,Khumbu,Solukhumbu,Moderate,2,3840,3440,18,300,550,Spring|Autumn,Yes,Sagarmatha National Park + TIMS,50,No,Teahouse,0.75,0.82,0.55,Moderate,Basic,Yes,No,Yes,42,Loop,5,400,400,Abundant,Partial,No,Off-route trek to traditional Sherpa village,Nepal Tourism Board
112,Kongde Ri Base Trek,Khumbu,Solukhumbu,Hard,4,4200,3440,30,600,1100,Spring|Autumn,Yes,Sagarmatha National Park + TIMS,50,No,Teahouse,0.5,0.88,0.75,High,Basic,Yes,No,Yes,44,Out-and-back,6,760,760,Moderate,Partial,No,Acclimatization trek with stunning views,Nepal Tourism Board
113,Renjo La Day Hike,Khumbu,Solukhumbu,Hard,1,5360,4790,10,200,400,Spring|Autumn,Yes,Sagarmatha National Park + TIMS,50,No,None,0.4,0.92,0.85,High,Intermediate,No,No,Yes,52,Out-and-back,7,570,570,Limited,None,No,Single day high pass crossing,Nepal Tourism Board
114,Cho La Day Crossing,Khumbu,Solukhumbu,Hard,1,5420,4830,12,200,400,Spring|Autumn,Yes,Sagarmatha National Park + TIMS,50,Yes,None,0.35,0.9,0.88,High,Intermediate,No,No,Yes,50,Point-to-point,8,590,590,Limited,None,No,Technical pass crossing between Gokyo and EBC,Nepal Tourism Board
115,Kongma La Day Crossing,Khumbu,Solukhumbu,Very Hard,1,5535,4940,10,250,450,Spring|Autumn,Yes,Sagarmatha National Park + TIMS,50,Yes,None,0.3,0.88,0.9,Very High,Intermediate,No,No,Yes,48,Point-to-point,8,595,595,Limited,None,No,Challenging pass with glacier views,Nepal Tourism Board
116,Chukhung Ri Trek,Khumbu,Solukhumbu,Moderate,1,5546,4730,8,150,300,Spring|Autumn,Yes,Sagarmatha National Park + TIMS,50,No,None,0.35,0.9,0.75,Moderate,Basic,No,No,Yes,47,Out-and-back,5,816,816,Limited,None,No,Day hike to stunning viewpoint,Nepal Tourism Board
117,Nangkartshang Peak,Khumbu,Solukhumbu,Moderate,1,5083,4350,6,150,300,Spring|Autumn,Yes,Sagarmatha National Park + TIMS,50,No,None,0.4,0.88,0.7,Moderate,Basic,No,No,Yes,46,Out-and-back,5,733,733,Limited,Limited,No,Acclimatization peak above Dingboche,Nepal Tourism Board
118,Imja Tse Base Camp,Khumbu,Solukhumbu,Moderate,2,5150,4730,15,300,550,Spring|Autumn,Yes,Sagarmatha National Park + TIMS,50,No,Camping,0.35,0.9,0.78,Moderate,Basic,Yes,Yes,Yes,49,Out-and-back,5,420,420,Limited,None,No,Trek to Island Peak base,Nepal Tourism Board
119,Amphu Laptsa Approach,Khumbu,Solukhumbu,Very Hard,3,5800,4730,25,600,1100,Spring|Autumn,Yes,Sagarmatha National Park + TIMS,50,Yes,Camping,0.25,0.92,0.95,Very High,Advanced,No,Yes,Yes,52,Out-and-back,7,1070,1070,Limited,None,No,Technical approach to challenging pass,Nepal Tourism Board
120,Mingbo La Trek,Khumbu,Solukhumbu,Very Hard,4,5850,4350,35,700,1300,Spring|Autumn,Yes,Sagarmatha National Park + TIMS,50,Yes,Camping,0.3,0.9,0.92,Very High,Advanced,No,Yes,Yes,50,Out-and-back,7,1500,1500,Limited,None,No,Remote high altitude exploration,Nepal Tourism Board
121,Milke Danda Trek,Eastern Nepal,Taplejung|Tehrathum,Moderate,12,4200,1800,120,1000,1800,Spring|Autumn,No,TIMS only,20,No,Teahouse,0.8,0.88,0.6,Moderate,Basic,Yes,No,Yes,70,Ridge Trek,5,2400,2400,Abundant,Partial,No,Beautiful ridge trek with rhododendron forests,Nepal Tourism Board
122,Pathibhara Temple Trek,Eastern Nepal,Taplejung,Moderate,8,3794,1200,75,800,1500,Spring|Autumn,Yes,Kanchenjunga Conservation,30,No,Teahouse,0.9,0.82,0.55,Moderate,Basic,Yes,No,Yes,65,Out-and-back,5,2594,2594,Abundant,Partial,No,Pilgrimage trek to sacred goddess temple,DNPWC
123,Limbu Cultural Trail,Eastern Nepal,Panchthar|Taplejung,Moderate,10,3500,1000,100,900,1700,Spring|Autumn,No,TIMS only,20,No,Homestay,0.92,0.8,0.5,Moderate,Basic,Yes,No,Yes,60,Traverse,5,2500,2500,Abundant,Partial,No,Cultural immersion in Limbu communities,Nepal Tourism Board
124,Chainpur to Tumlingtar,Eastern Nepal,Sankhuwasabha,Easy,5,2000,300,60,500,900,Spring|Autumn|Winter,No,TIMS only,20,No,Teahouse,0.75,0.75,0.4,Low,Basic,Yes,No,Yes,45,Traverse,4,1700,1700,Abundant,Partial,No,Lower Arun Valley cultural trek,Nepal Tourism Board
125,Salpa Arun Trek,Eastern Nepal,Solukhumbu|Sankhuwasabha,Moderate,10,3350,300,100,900,1600,Spring|Autumn,No,TIMS only,20,No,Teahouse,0.7,0.85,0.6,Moderate,Basic,Yes,No,Yes,55,Traverse,5,3050,3050,Abundant,Partial,No,Alternative approach to Everest,Nepal Tourism Board
126,Jaljale Himal Trek,Eastern Nepal,Sankhuwasabha,Hard,14,4700,1500,140,1200,2200,Spring|Autumn,No,TIMS only,20,Yes,Camping,0.6,0.9,0.75,High,Basic,Yes,Yes,Yes,75,Out-and-back,6,3200,3200,Moderate,Limited,No,Remote eastern Nepal high altitude trek,Nepal Tourism Board
127,Tinjure Milke Jaljale,Eastern Nepal,Tehrathum|Sankhuwasabha,Moderate,15,4700,1200,150,1100,2000,Spring,No,TIMS only,20,No,Teahouse,0.75,0.92,0.65,Moderate,Basic,Yes,No,Yes,65,Ridge Trek,5,3500,3500,Abundant,Partial,No,Famous rhododendron blooming trek,Nepal Tourism Board
128,Olangchung Gola Trek,Eastern Nepal,Taplejung,Very Hard,20,4800,1200,180,2000,3500,Spring|Autumn,Yes,Restricted Area Permit,100,Yes,Camping,0.85,0.88,0.8,Very High,Intermediate,Yes,Yes,Yes,95,Out-and-back,6,3600,3600,Moderate,None,No,Remote Tibetan border valley,MOCTCA
129,Yalung Base Camp Trek,Kanchenjunga,Taplejung,Very Hard,16,4850,1200,150,1800,3200,Spring|Autumn,Yes,Kanchenjunga Conservation + TIMS,50,Yes,Teahouse,0.55,0.94,0.88,Very High,Intermediate,Yes,Yes,Yes,85,Out-and-back,7,3650,3650,Moderate,Limited,No,Southern approach to Kanchenjunga,DNPWC
130,Sele La Pass Trek,Kanchenjunga,Taplejung,Very Hard,5,4480,3800,40,500,900,Spring|Autumn,Yes,Kanchenjunga Conservation + TIMS,50,Yes,Camping,0.4,0.88,0.85,Very High,Intermediate,No,Yes,Yes,88,Point-to-point,7,680,680,Limited,None,No,High pass connecting north and south base camps,DNPWC
131,Mirgin La Pass Trek,Kanchenjunga,Taplejung,Very Hard,4,4663,3800,35,500,900,Spring|Autumn,Yes,Kanchenjunga Conservation + TIMS,50,Yes,Camping,0.35,0.86,0.88,Very High,Intermediate,No,Yes,Yes,90,Point-to-point,7,863,863,Limited,None,No,Alternative high pass in Kanchenjunga,DNPWC
132,Sinion La Pass Trek,Kanchenjunga,Taplejung,Very Hard,3,4660,4000,25,400,750,Spring|Autumn,Yes,Kanchenjunga Conservation + TIMS,50,Yes,Camping,0.3,0.85,0.85,Very High,Intermediate,No,Yes,Yes,92,Point-to-point,6,660,660,Limited,None,No,Pass leading to Ghunsa valley,DNPWC
133,Ghunsa Valley Trek,Kanchenjunga,Taplejung,Moderate,4,3595,2000,35,500,950,Spring|Autumn,Yes,Kanchenjunga Conservation + TIMS,50,No,Teahouse,0.8,0.85,0.6,Moderate,Basic,Yes,No,Yes,80,Out-and-back,5,1595,1595,Abundant,Limited,No,Beautiful valley with Tibetan culture,DNPWC
134,Lhonak Valley Trek,Kanchenjunga,Taplejung,Hard,3,4785,3595,25,450,850,Spring|Autumn,Yes,Kanchenjunga Conservation + TIMS,50,No,Camping,0.4,0.9,0.78,High,Basic,No,Yes,Yes,95,Out-and-back,6,1190,1190,Moderate,None,No,Valley leading to Kanchenjunga North BC,DNPWC
135,Ramche to Pangpema,Kanchenjunga,Taplejung,Hard,2,5143,4620,15,350,650,Spring|Autumn,Yes,Kanchenjunga Conservation + TIMS,50,No,Camping,0.3,0.95,0.82,High,Basic,No,Yes,Yes,98,Out-and-back,6,523,523,Limited,None,No,Final stretch to Kanchenjunga North Base Camp,DNPWC
136,Langtang Ri Trek,Langtang,Rasuwa,Hard,2,4773,3870,15,300,550,Spring|Autumn,Yes,Langtang National Park + TIMS,50,No,Teahouse,0.5,0.9,0.75,High,Basic,Yes,No,Yes,40,Out-and-back,6,903,903,Moderate,Partial,No,Challenging day hike above Kyanjin,DNPWC
137,Tserko Ri Trek,Langtang,Rasuwa,Hard,1,4984,3870,10,200,400,Spring|Autumn,Yes,Langtang National Park + TIMS,50,No,None,0.45,0.92,0.78,High,Basic,No,No,Yes,42,Out-and-back,7,1114,1114,Moderate,Partial,No,Highest viewpoint in Langtang valley,DNPWC
138,Langshisha Kharka Trek,Langtang,Rasuwa,Moderate,2,4285,3870,18,300,550,Spring|Autumn,Yes,Langtang National Park + TIMS,50,No,Camping,0.4,0.88,0.7,Moderate,Basic,No,Yes,Yes,45,Out-and-back,5,415,415,Moderate,Partial,No,Side valley exploration from Kyanjin,DNPWC
139,Yala Peak Approach,Langtang,Rasuwa,Hard,2,4800,3870,15,400,750,Spring|Autumn,Yes,Langtang National Park + TIMS,50,No,Camping,0.35,0.88,0.8,High,Intermediate,No,Yes,Yes,43,Out-and-back,6,930,930,Moderate,Partial,No,Approach to popular trekking peak,DNPWC
140,Naya Kanga Base Trek,Langtang,Rasuwa,Hard,3,5000,3870,22,500,900,Spring|Autumn,Yes,Langtang National Park + TIMS,50,Yes,Camping,0.35,0.86,0.82,High,Intermediate,No,Yes,Yes,44,Out-and-back,6,1130,1130,Moderate,Partial,No,Base camp for technical peak,DNPWC
141,Tilman Pass Trek,Langtang,Rasuwa,Very Hard,5,5320,3870,40,800,1500,Spring|Autumn,Yes,Langtang National Park + TIMS,50,Yes,Camping,0.3,0.9,0.92,Very High,Advanced,No,Yes,Yes,48,Traverse,7,1450,1450,Limited,None,No,Challenging pass to Panch Pokhari,DNPWC
142,Laurebina La Trek,Langtang,Rasuwa,Hard,2,4610,4380,16,300,550,Spring|Autumn,Yes,Langtang National Park + TIMS,50,No,Teahouse,0.7,0.88,0.75,High,Basic,Yes,No,Yes,35,Point-to-point,6,230,230,Moderate,Partial,No,Pass connecting Gosaikunda to Helambu,DNPWC
143,Gosaikunda Lakes Circuit,Langtang,Rasuwa,Moderate,2,4610,4380,14,250,500,Spring|Autumn,Yes,Langtang National Park + TIMS,50,No,Teahouse,0.85,0.88,0.65,Moderate,Basic,Yes,No,Yes,33,Loop,5,230,230,Moderate,Partial,No,Sacred lakes exploration,DNPWC
144,Saraswati Kunda Trek,Langtang,Rasuwa,Moderate,1,4600,4380,8,150,300,Spring|Autumn,Yes,Langtang National Park + TIMS,50,No,None,0.9,0.82,0.6,Moderate,Basic,No,No,Yes,34,Out-and-back,5,220,220,Moderate,Partial,No,Day hike to sacred lake,DNPWC
145,Bhairav Kunda Trek,Langtang,Rasuwa,Moderate,1,4250,4100,6,120,250,Spring|Autumn,Yes,Langtang National Park + TIMS,50,No,None,0.88,0.8,0.55,Moderate,Basic,No,No,Yes,32,Out-and-back,4,150,150,Moderate,Partial,No,Pilgrimage to Bhairav's lake,DNPWC
146,Melamchi to Tarkeghyang,Helambu,Sindhupalchowk,Easy,2,2740,870,20,250,500,Year-round,No,TIMS only,20,No,Teahouse,0.85,0.78,0.45,Low,Basic,Yes,No,Yes,20,Point-to-point,5,1870,1870,Abundant,Good,No,Traditional Sherpa village trek,Nepal Tourism Board
147,Sermathang Trek,Helambu,Sindhupalchowk,Easy,3,2610,1400,25,300,550,Year-round,No,TIMS only,20,No,Teahouse,0.82,0.75,0.42,Low,Basic,Yes,No,Yes,22,Out-and-back,4,1210,1210,Abundant,Good,No,Apple orchard village trek,Nepal Tourism Board
148,Thadepati to Kutumsang,Helambu,Sindhupalchowk,Moderate,2,3690,2470,18,250,500,Spring|Autumn,No,TIMS only,20,No,Teahouse,0.6,0.82,0.55,Moderate,Basic,Yes,No,Yes,28,Point-to-point,5,1220,1220,Abundant,Partial,No,Ridge walk with mountain views,Nepal Tourism Board
149,Chisapani to Kutumsang,Helambu,Sindhupalchowk,Moderate,3,2470,2200,25,350,650,Spring|Autumn|Winter,Yes,Shivapuri National Park,10,No,Teahouse,0.65,0.8,0.5,Moderate,Basic,Yes,No,Yes,18,Point-to-point,5,270,270,Abundant,Good,No,Gateway trek into Helambu,DNPWC
150,Yangri Peak Approach,Helambu,Sindhupalchowk,Hard,4,4200,2200,35,600,1100,Spring|Autumn,No,TIMS only,20,No,Camping,0.4,0.85,0.78,High,Basic,No,Yes,Yes,30,Out-and-back,6,2000,2000,Moderate,Partial,No,Remote peak in eastern Helambu,Nepal Tourism Board
151,Birethanti to Ghandruk,Annapurna,Kaski,Easy,1,1940,1025,10,100,200,Year-round,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.75,0.78,0.45,Low,Basic,Yes,No,Yes,12,Point-to-point,4,915,915,Abundant,Good,No,Beautiful stone stairway to Ghandruk,NTNC-ACAP
152,Ghandruk to Chhomrong,Annapurna,Kaski,Moderate,1,2170,1940,8,100,200,Year-round,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.7,0.8,0.5,Moderate,Basic,Yes,No,Yes,15,Point-to-point,5,230,230,Abundant,Good,No,Connecting two major villages,NTNC-ACAP
153,Chhomrong to Bamboo,Annapurna,Kaski,Moderate,1,2310,2170,7,80,160,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.5,0.82,0.55,Moderate,Basic,Yes,No,Yes,18,Point-to-point,5,140,140,Abundant,Good,No,Descent into Annapurna Sanctuary,NTNC-ACAP
154,Bamboo to Deurali,Annapurna,Kaski,Moderate,1,3230,2310,8,80,160,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.4,0.85,0.6,Moderate,Basic,Yes,No,Yes,22,Point-to-point,5,920,920,Abundant,Good,No,Through bamboo forest to high camp,NTNC-ACAP
155,Deurali to ABC,Annapurna,Kaski,Moderate,1,4130,3230,6,80,160,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.45,0.92,0.7,Moderate,Basic,Yes,No,Yes,25,Point-to-point,5,900,900,Moderate,Good,No,Final approach into sanctuary amphitheater,NTNC-ACAP
156,ABC to MBC Trek,Annapurna,Kaski,Moderate,1,3700,4130,4,70,140,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.4,0.9,0.65,Moderate,Basic,Yes,No,Yes,26,Out-and-back,4,430,430,Moderate,Good,No,Day hike to Machhapuchhre Base Camp,NTNC-ACAP
157,Ulleri to Ghorepani,Annapurna,Myagdi,Moderate,1,2860,2070,8,80,160,Year-round,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.6,0.85,0.55,Moderate,Basic,Yes,No,Yes,20,Point-to-point,5,790,790,Abundant,Good,No,Stone stairway through rhododendron,NTNC-ACAP
158,Ghorepani to Tadapani,Annapurna,Myagdi|Kaski,Moderate,1,2700,2860,7,80,160,Year-round,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.55,0.85,0.5,Moderate,Basic,Yes,No,Yes,22,Point-to-point,5,160,160,Abundant,Good,No,Through rhododendron forest,NTNC-ACAP
159,Tadapani to Chhomrong,Annapurna,Kaski,Moderate,1,2170,2700,10,80,160,Year-round,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.6,0.8,0.5,Moderate,Basic,Yes,No,Yes,18,Point-to-point,5,530,530,Abundant,Good,No,Connection to ABC trail,NTNC-ACAP
160,Khopra Danda Trek,Annapurna,Myagdi,Moderate,2,3660,2860,18,300,600,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.55,0.88,0.65,Moderate,Basic,Yes,No,Yes,28,Out-and-back,5,800,800,Moderate,Partial,No,Community lodge with Dhaulagiri views,NTNC-ACAP
161,Khayer Lake Trek,Annapurna,Myagdi,Hard,2,4500,3660,14,350,700,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Camping,0.7,0.9,0.78,High,Basic,No,Yes,Yes,32,Out-and-back,7,840,840,Limited,Partial,No,Sacred high altitude lake from Khopra,NTNC-ACAP
162,Besisahar to Bhulbhule,Annapurna,Lamjung,Easy,1,840,760,12,80,160,Year-round,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.6,0.7,0.35,Low,Basic,Yes,No,Yes,8,Point-to-point,4,80,80,Abundant,Good,Yes,Start of Annapurna Circuit by foot,NTNC-ACAP
163,Bhulbhule to Jagat,Annapurna,Lamjung,Easy,1,1300,840,12,80,160,Year-round,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.65,0.75,0.4,Low,Basic,Yes,No,Yes,12,Point-to-point,5,460,460,Abundant,Good,No,Along Marsyangdi River valley,NTNC-ACAP
164,Jagat to Dharapani,Annapurna,Lamjung|Manang,Moderate,1,1900,1300,14,80,160,Year-round,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.7,0.78,0.5,Moderate,Basic,Yes,No,Yes,18,Point-to-point,5,600,600,Abundant,Partial,No,Crossing into Manang district,NTNC-ACAP
165,Dharapani to Chame,Annapurna,Manang,Moderate,1,2670,1900,15,80,160,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.7,0.8,0.55,Moderate,Basic,Yes,No,Yes,25,Point-to-point,5,770,770,Abundant,Partial,No,Through pine forests to Manang HQ,NTNC-ACAP
166,Chame to Pisang,Annapurna,Manang,Moderate,1,3300,2670,15,80,160,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.75,0.82,0.55,Moderate,Basic,Yes,No,Yes,30,Point-to-point,5,630,630,Abundant,Partial,No,First views of Annapurna II,NTNC-ACAP
167,Pisang to Manang,Annapurna,Manang,Moderate,1,3540,3300,18,80,160,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.8,0.85,0.55,Moderate,Basic,Yes,No,Yes,35,Point-to-point,5,240,240,Abundant,Limited,No,Through beautiful Manang valley,NTNC-ACAP
168,Manang to Yak Kharka,Annapurna,Manang,Moderate,1,4110,3540,12,80,160,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.5,0.85,0.65,Moderate,Basic,Yes,No,Yes,40,Point-to-point,5,570,570,Moderate,Limited,No,Acclimatization day trek,NTNC-ACAP
